20190107MON2,亞洲盃,南韓,"[-2.5, -3.0]",菲律賓,"[2.5, 3.0]",1.96,1.88
20190107MON4,葡萄牙超級聯賽,唐迪拉,"[0.5, 1.0]",士砵亭,"[-0.5, -1.0]",2.07,1.78
20190107MON5,英格蘭足總盃,狼隊,"[0.5, 1.0]",利物浦,"[-0.5, -1.0]",1.72,2.08
20190107MON6,法國足總盃,里爾,"[-1.0, -1.5]",索察,"[1.0, 1.5]",1.83,1.94
20190107MON7,西班牙甲組聯賽,切爾達,"[0.0, -0.5]",畢爾包,"[0.0, 0.5]",2.03,1.81
20190107MON8,葡萄牙超級聯賽,波圖,"[-2.0, -2.5]",國民隊,"[2.0, 2.5]",1.88,1.96
20190108TUE1,澳洲職業聯賽,西悉尼流浪者,"[0.0, -0.5]",威靈頓鳳凰,"[0.0, 0.5]",1.73,2.14
20190108TUE2,亞洲盃,伊拉克,"[-1.0, -1.5]",越南,"[1.0, 1.5]",2.08,1.76
20190108TUE3,亞洲盃,沙特阿拉伯,"[-0.5, -1.0]",北韓,"[0.5, 1.0]",1.96,1.86
20190108TUE4,法國甲組聯賽,南特,"[0.0, -0.5]",蒙彼利埃,"[0.0, 0.5]",2.01,1.77
20190108TUE5,法國甲組聯賽,艾米恩斯,[0.0],昂熱,[0.0],1.78,1.99
20190108TUE10,英格蘭聯賽錦標,修安聯,"[0.0, 0.5]",樸茨茅夫,"[0.0, -0.5]",1.90,1.86
20190108TUE11,英格蘭聯賽盃,熱刺,"[0.0, -0.5]",車路士,"[0.0, 0.5]",1.83,1.99
20190108TUE12,法國聯賽盃,里昂,"[-1.0, -1.5]",斯特拉斯堡,"[1.0, 1.5]",1.93,1.83
20190108TUE13,西班牙盃,希杭,"[0.0, 0.5]",華倫西亞,"[0.0, -0.5]",2.15,1.67
20190108TUE15,墨西哥盃,普馬斯,"[0.0, -0.5]",阿特拿斯,"[0.0, 0.5]",1.78,1.99
20190108TUE17,墨西哥盃,盧保斯,"[0.0, -0.5]",薩卡特卡斯,"[0.0, 0.5]",1.70,2.10
20190109WED1,澳洲職業聯賽,阿德萊德聯,[0.0],墨爾本勝利,[0.0],1.91,1.93
20190109WED3,澳洲職業聯賽,珀斯光輝,[0.0],FC悉尼,[0.0],1.95,1.89
20190109WED4,亞洲盃,烏茲別克,"[0.0, -0.5]",阿曼,"[0.0, 0.5]",1.72,2.08
20190109WED5,亞洲盃,卡塔爾,"[-0.5, -1.0]",黎巴嫩,"[0.5, 1.0]",1.93,1.84
20190109WED6,法國聯賽盃,摩納哥,[0.0],雷恩,[0.0],1.79,1.98
20190109WED7,西班牙盃,基羅納,"[0.5, 1.0]",馬德里體育會,"[-0.5, -1.0]",1.67,2.15
20190109WED9,西班牙盃,維拉利爾,"[0.0, -0.5]",愛斯賓奴,"[0.0, 0.5]",1.68,2.13
20190109WED11,法國聯賽盃,波爾多,"[-0.5, -1.0]",勒哈弗爾,"[0.5, 1.0]",1.80,1.97
20190109WED13,西班牙盃,皇家馬德里,"[-1.0, -1.5]",雷加利斯,"[1.0, 1.5]",1.67,2.15
20190109WED15,墨西哥盃,譚比高馬迪羅,"[0.0, 0.5]",普埃布拉,"[0.0, -0.5]",1.87,1.89
20190109WED16,墨西哥盃,聖路易斯,[0.0],尼卡沙,[0.0],2.06,1.73
20190108TUE2,亞洲盃,伊拉克,"[-1.0, -1.5]",越南,"[1.0, 1.5]",2.08,1.76
20190108TUE3,亞洲盃,沙特阿拉伯,"[-0.5, -1.0]",北韓,"[0.5, 1.0]",1.96,1.86
20190108TUE4,法國甲組聯賽,南特,"[0.0, -0.5]",蒙彼利埃,"[0.0, 0.5]",2.01,1.77
20190108TUE5,法國甲組聯賽,艾米恩斯,[0.0],昂熱,[0.0],1.78,1.99
20190108TUE10,英格蘭聯賽錦標,修安聯,"[0.0, 0.5]",樸茨茅夫,"[0.0, -0.5]",1.90,1.86
20190108TUE11,英格蘭聯賽盃,熱刺,"[0.0, -0.5]",車路士,"[0.0, 0.5]",1.83,1.99
20190109WED6,法國聯賽盃,摩納哥,[0.0],雷恩,[0.0],1.79,1.98
20190109WED7,西班牙盃,基羅納,"[0.5, 1.0]",馬德里體育會,"[-0.5, -1.0]",1.67,2.15
20190109WED9,西班牙盃,維拉利爾,"[0.0, -0.5]",愛斯賓奴,"[0.0, 0.5]",1.68,2.13
20190109WED11,法國聯賽盃,波爾多,"[-0.5, -1.0]",勒哈弗爾,"[0.5, 1.0]",1.80,1.97
20190109WED13,西班牙盃,皇家馬德里,"[-1.0, -1.5]",雷加利斯,"[1.0, 1.5]",1.67,2.15
20190109WED15,墨西哥盃,譚比高馬迪羅,"[0.0, 0.5]",普埃布拉,"[0.0, -0.5]",1.87,1.89
20190109WED16,墨西哥盃,聖路易斯,[0.0],尼卡沙,[0.0],2.06,1.73
